Date,Source,Title,URL,Score
2026-02-02,Hacker News,Defeating a 40-year-old copy protection dongle,https://dmitrybrant.com/2026/02/01/defeating-a-40-year-old-copy-protection-dongle,425
2026-02-02,Hacker News,Apple's MacBook Pro DFU port documentation is wrong,https://lapcatsoftware.com/articles/2026/2/1.html,55
2026-02-02,Hacker News,Show HN: NanoClaw – “Clawdbot” in 500 lines of TS with Apple container isolation,https://github.com/gavrielc/nanoclaw,318
2026-02-02,Hacker News,Actors: A Model of Concurrent Computation [pdf] (1985),https://apps.dtic.mil/sti/tr/pdf/ADA157917.pdf,56
2026-02-02,Hacker News,Notepad++ hijacked by state-sponsored actors,https://notepad-plus-plus.org/news/hijacked-incident-info-update/,582
2026-02-03,Hacker News,"Floppinux – An Embedded Linux on a Single Floppy, 2025 Edition",https://krzysztofjankowski.com/floppinux/floppinux-2025.html,43
2026-02-03,Hacker News,How does misalignment scale with model intelligence and task complexity?,https://alignment.anthropic.com/2026/hot-mess-of-ai/,148
2026-02-03,Hacker News,The Codex App,https://openai.com/index/introducing-the-codex-app/,601
2026-02-03,Hacker News,Anki ownership transferred to AnkiHub,https://forums.ankiweb.net/t/ankis-growing-up/68610,313
2026-02-03,Hacker News,Coding assistants are solving the wrong problem,https://www.bicameral-ai.com/blog/introducing-bicameral,23
2026-02-03,Hacker News,What's up with all those equals signs anyway?,https://lars.ingebrigtsen.no/2026/02/02/whats-up-with-all-those-equals-signs-anyway/,265
2026-02-03,Hacker News,"Floppinux – An Embedded Linux on a Single Floppy, 2025 Edition",https://krzysztofjankowski.com/floppinux/floppinux-2025.html,179
2026-02-03,Hacker News,Show HN: Safe-now.live – Ultra-light emergency info site (<10KB),https://safe-now.live,74
2026-02-03,Hacker News,The Codex App,https://openai.com/index/introducing-the-codex-app/,727
2026-02-03,Hacker News,KDE's new Plasma Login Manager is tightly bound to systemd,https://forums.FreeBSD.org/threads/kde-plasma-login-manager-wont-support-systemd-free-linux-or-bsd-systems.101393/,31
2026-02-04,Hacker News,I miss thinking hard,https://www.jernesto.com/articles/thinking_hard,195
2026-02-04,Hacker News,Petition for Recognition of Work on Open-Source as Volunteering in Germany,https://www.openpetition.de/petition/online/recognition-of-work-on-open-source-as-volunteering-in-germany,35
2026-02-04,Hacker News,Lessons learned shipping 500 units of my first hardware product,https://www.simonberens.com/p/lessons-learned-shipping-500-units,473
2026-02-04,Hacker News,Data centers in space makes no sense,https://civai.org/blog/space-data-centers,423
2026-02-04,Hacker News,Show HN: Craftplan – I built my wife a production management tool for her bakery,https://github.com/puemos/craftplan,213
2026-02-04,Hacker News,FBI Couldn't Get into WaPo Reporter's iPhone Because Lockdown Mode Enabled,https://www.404media.co/fbi-couldnt-get-into-wapo-reporters-iphone-because-it-had-lockdown-mode-enabled/,17
2026-02-04,Hacker News,Show HN: Ghidra MCP Server – 110 tools for AI-assisted reverse engineering,https://github.com/bethington/ghidra-mcp,158
2026-02-04,Hacker News,"Cannabis usage in older adults linked to larger brain, better cognitive function",https://medicalxpress.com/news/2026-02-qa-cannabis-usage-middle-aged.html,23
2026-02-04,Hacker News,Brazilian Micro-SaaS Map,https://saas-map.ssr.trapiche.cloud/,47
2026-02-04,Hacker News,Thatcher Effect – Optical Illusion and Explanation,https://optical.toys/thatcher-effect/,5
